symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
1000SATS,2,2025-03-13,2025-04-01,19,0.0001221,6.61e-05,0.00010701,12.36,5.03e-06,bullish,direction_flip,-45.864,-46.064,False,True,bullish,True,0.0001,0.000145,2,True,bullish,True,0.000119,0.000144,1,True,bullish,True,0.0001211,0.0001238,1,[V3:balance_aligned] READY (BULLISH),0.879204,0.474207,
AUCTION,4,2025-03-14,2025-04-29,46,27.69,11.86,17.79857143,35.72,3.29714286,bullish,direction_flip,-57.1687,-57.3687,False,True,bullish,True,7.0,18.5,1,True,bullish,True,11.5,14.8,1,True,bullish,True,23.2,29.2,3,[V3:balance_aligned] READY (BULLISH),3.283504,1.399802,
BNB,8,2025-03-18,2025-10-28,224,627.81,1103.45,528.53357143,15.81,33.09214286,bullish,direction_flip,75.7618,75.5618,True,False,bullish,True,500,730,1,True,bullish,True,545,595,1,True,bullish,True,602,644,1,[V3:breakout_ready] READY (BULLISH),9.797382,17.200458,
BNT,5,2025-03-19,2025-03-20,1,0.4262,0.408,0.33658571,21.03,0.02987143,bullish,direction_flip,-4.2703,-4.4703,False,False,bullish,True,0.405,0.585,1,True,bullish,True,0.357,0.445,1,True,bullish,True,0.395,0.405,1,[V3:breakout_ready] READY (BULLISH),1.365332,1.304297,
FLOW,5,2025-03-19,2025-05-27,69,0.439,0.398,0.35821429,18.4,0.02692857,bullish,direction_flip,-9.3394,-9.5394,False,False,bullish,True,0.39,0.555,1,True,bullish,True,0.355,0.432,1,True,bullish,True,0.401,0.425,1,[V3:breakout_ready] READY (BULLISH),1.355711,1.226384,
LINK,8,2025-03-19,2025-03-20,1,15.03,14.22,11.14285714,25.86,1.29571429,bullish,direction_flip,-5.3892,-5.5892,False,False,bullish,True,13.5,22.0,1,True,bullish,True,11.8,15.4,1,True,bullish,True,13.45,14.3,2,[V3:breakout_ready] READY (BULLISH),1.11407,1.051802,
SXP,6,2025-03-19,2025-04-01,13,0.209,0.1827,0.16897143,19.15,0.01334286,bullish,direction_flip,-12.5837,-12.7837,False,True,bullish,True,0.175,0.295,1,True,bullish,True,0.18,0.198,1,True,bullish,True,0.196,0.2085,2,[V3:balance_aligned] READY (BULLISH),0.985339,0.859375,
C98,5,2025-03-20,2025-05-27,68,0.0718,0.0604,0.05283571,26.41,0.00632143,bullish,direction_flip,-15.8774,-16.0774,False,True,bullish,True,0.07,0.118,1,True,bullish,True,0.064,0.072,1,True,bullish,True,0.071,0.0765,2,[V3:balance_aligned] READY (BULLISH),0.467398,0.392253,
GNS,2,2025-03-21,2025-04-29,39,1.562,1.495,1.28107143,17.99,0.09364286,bullish,direction_flip,-4.2894,-4.4894,False,True,bullish,True,1.03,1.83,2,True,bullish,True,1.34,1.49,1,True,bullish,True,1.535,1.6,2,[V3:balance_aligned] READY (BULLISH),0.8261,0.789013,
PIVX,1,2025-03-25,2025-07-29,126,0.1696,0.1454,0.14386429,15.17,0.00857857,bullish,direction_flip,-14.2689,-14.4689,False,True,bullish,True,0.15,0.223,1,True,bullish,True,0.162,0.169,1,True,bullish,True,0.1675,0.1705,1,[V3:balance_aligned] READY (BULLISH),1.0,0.855311,
ICP,7,2025-03-26,2025-03-27,1,6.079,6.098,5.16378571,15.06,0.30507143,bullish,direction_flip,0.3126,0.1126,True,False,bullish,True,5.6,7.7,1,True,bullish,True,5.5,6.1,1,True,bullish,True,5.94,6.24,1,[V3:breakout_ready] READY (BULLISH),0.710235,0.711034,
CHZ,5,2025-04-05,2025-04-06,1,0.04158,0.03797,0.03419786,17.75,0.00246071,bullish,direction_flip,-8.6821,-8.8821,False,False,bullish,True,0.037,0.054,1,True,bullish,True,0.039,0.045,1,True,bullish,True,0.0411,0.0422,1,[V3:breakout_ready] READY (BULLISH),1.415594,1.28986,
STRAX,7,2025-04-08,2025-04-09,1,0.03948,0.04209,0.02647929,32.93,0.00433357,bullish,direction_flip,6.6109,6.4109,True,False,bullish,True,0.034,0.053,1,True,bullish,True,0.0335,0.044,1,True,bullish,True,0.0335,0.0403,1,[V3:breakout_ready] READY (BULLISH),0.798942,0.850162,
