symbol,trade_id,entry_time,exit_time,duration_days,entry_price,exit_price,stop_loss,sl_distance_pct,atr_at_entry,direction,exit_reason,gross_return_pct,net_return_pct,is_win,m_ready,m_direction,m_compressed,m_mba_low,m_mba_high,m_continuity,w_ready,w_direction,w_compressed,w_mba_low,w_mba_high,w_continuity,d_ready,d_direction,d_compressed,d_mba_low,d_mba_high,d_continuity,alignment_summary,equity_before,equity_after,btc_regime
CYBER,2,2024-12-03,2024-12-09,6,5.269,4.00428571,4.00428571,24.0,0.42157143,bullish,stop_loss,-24.0029,-24.2029,False,True,bullish,True,2.6,5.0,1,True,bullish,True,3.75,4.85,1,True,bullish,True,4.58,4.75,1,[V3:balance_aligned] READY (BULLISH),0.886913,0.672254,neutral
FARM,4,2024-12-03,2024-12-20,17,59.3,43.37214286,43.37214286,26.86,5.30928571,bullish,stop_loss,-26.8598,-27.0598,False,True,bullish,True,34,84,1,True,bullish,True,49.0,56.2,2,True,bullish,True,54.0,61.0,1,[V3:balance_aligned] READY (BULLISH),0.681429,0.497036,neutral
FET,4,2024-12-03,2024-12-19,16,1.91,1.37664286,1.37664286,27.92,0.17778571,bullish,stop_loss,-27.9245,-28.1245,False,False,bullish,True,1.1,1.95,2,True,bullish,True,1.38,1.62,1,True,bullish,True,1.74,1.84,1,[V3:breakout_ready] READY (BULLISH),6.229062,4.477172,neutral
MBOX,2,2024-12-03,2024-12-09,6,0.313,0.23191429,0.23191429,25.91,0.02702857,bullish,stop_loss,-25.906,-26.106,False,False,bullish,True,0.13,0.285,1,True,bullish,True,0.205,0.283,1,True,bullish,True,0.259,0.271,1,[V3:breakout_ready] READY (BULLISH),0.811811,0.59988,neutral
MOVR,2,2024-12-03,2024-12-09,6,19.676,13.67,13.67,30.52,2.002,bullish,stop_loss,-30.5245,-30.7245,False,False,bullish,True,8.0,19.0,1,True,bullish,True,15.0,18.2,1,True,bullish,True,15.6,16.7,1,[V3:breakout_ready] READY (BULLISH),0.455772,0.315739,neutral
NEXO,1,2024-12-03,2024-12-20,17,1.469,1.21614286,1.21614286,17.21,0.08428571,bullish,stop_loss,-17.2129,-17.4129,False,True,bullish,True,0.93,1.5,1,True,bullish,True,1.28,1.5,1,True,bullish,True,1.42,1.465,1,[V3:balance_aligned] READY (BULLISH),1.0,0.825871,neutral
ONG,7,2024-12-03,2024-12-09,6,0.5404,0.4063,0.4063,24.81,0.0447,bullish,stop_loss,-24.815,-25.015,False,True,bullish,True,0.25,0.46,1,True,bullish,True,0.36,0.46,1,True,bullish,True,0.405,0.46,1,[V3:balance_aligned] READY (BULLISH),1.198592,0.898765,neutral
RIF,3,2024-12-03,2024-12-09,6,0.1494,0.11472857,0.11472857,23.21,0.01155714,bullish,stop_loss,-23.2071,-23.4071,False,False,bullish,True,0.077,0.143,1,True,bullish,True,0.126,0.136,1,True,bullish,True,0.128,0.1345,1,[V3:breakout_ready] READY (BULLISH),0.546131,0.418297,neutral
RUNE,3,2024-12-03,2024-12-19,16,6.93,5.20628571,5.20628571,24.87,0.57457143,bullish,stop_loss,-24.8732,-25.0732,False,True,bullish,True,4.2,6.7,1,True,bullish,True,5.25,5.9,1,True,bullish,True,5.8,6.15,1,[V3:balance_aligned] READY (BULLISH),2.604958,1.951811,neutral
YGG,4,2024-12-03,2024-12-19,16,0.7646,0.53203571,0.53203571,30.42,0.07752143,bullish,stop_loss,-30.4165,-30.6165,False,True,bullish,True,0.38,0.72,1,True,bullish,True,0.56,0.72,1,True,bullish,True,0.635,0.68,1,[V3:balance_aligned] READY (BULLISH),0.764325,0.530315,neutral
SHIB,8,2024-12-04,2024-12-18,14,3.285e-05,2.393e-05,2.393e-05,27.16,2.97e-06,bullish,stop_loss,-27.1559,-27.3559,False,False,bullish,True,1.65e-05,3.3e-05,1,True,bullish,True,2.32e-05,2.82e-05,2,True,bullish,True,2.65e-05,3.1e-05,1,[V3:breakout_ready] READY (BULLISH),4.053904,2.944922,neutral
